mimeType,dnsEnd,sslEnd,proxyStart,connReused,id,connectStart,from,contentLength,connId,dnsStart,sentTime,connectEnd,len,receiveHeadersEnd,sslStart,requestTime,url,httpStatus,cached,sendStart,proxyEnd,sendEnd
text/html,74,-1,-1,0,1,1,0x0,-1,229,1,-1.0,259,16731,492,-1,2262397.518433,http://ask.fm/,200,0,259,-1,259
application/x-javascript,-1,-1,-1,0,4,4,0x0,-1,232,-1,-1.0,4,55102,195,-1,2262398.138264,http://ask.fm/javascripts/lib_packaged.js?1377526500,200,0,6,-1,6
text/css,-1,-1,-1,1,2,3,0x4072410,-1,229,-1,-1.0,3,150224,201,-1,2262398.137335,http://ask.fm/stylesheets/base_ltr_packaged.css?1377526500,200,0,6,-1,6
text/javascript,342,-1,-1,0,3,3,0x42470c0,-1,274,3,-1.0,350,72174,360,-1,2262398.137885,http://ajax.googleapis.com/ajax/libs/jquery/1.4.2/jquery.min.js,200,0,351,-1,351
text/javascript,368,-1,-1,0,6,4,0x0,-1,275,4,-1.0,369,8055,374,-1,2262398.139232,http://www.googleadservices.com/pagead/conversion.js,200,0,370,-1,370
application/x-javascript,4,-1,-1,0,5,4,0x408efe0,-1,268,4,-1.0,187,62714,378,-1,2262398.138716,http://ask.fm/javascripts/base_packaged.js?1377526500,200,0,187,-1,188
image/jpeg,369,-1,-1,0,22,3,0x425a200,2492,491,3,-1.0,371,2492,376,-1,2262398.623412,http://img3.ask.fm/assets/233/311/816/thumb_tiny/nseemecambiiastexcompletoo.jpg,200,0,371,-1,371
image/png,374,-1,-1,0,16,1,0x4255720,5238,498,244,-1.0,375,5238,380,-1,2262398.619854,http://img4.ask.fm/assets/232/539/497/thumb_tiny/img_20130817_2.png,200,0,377,-1,377
image/jpeg,146,-1,-1,0,27,11,0x425d150,1128,492,11,-1.0,148,1128,157,-1,2262398.846636,http://img3.ask.fm/assets/209/223/455/thumb_tiny/img_20130716_062517.jpg,200,0,149,-1,149
image/jpeg,149,-1,-1,0,19,1,0x4258210,2446,494,1,-1.0,151,2446,160,-1,2262398.844207,http://img1.ask.fm/assets/234/139/580/thumb_tiny/file.jpg,200,0,152,-1,152
image/jpeg,371,-1,-1,0,18,3,0x4256800,793,496,241,-1.0,372,793,383,-1,2262398.622566,http://img6.ask.fm/assets/239/732/957/thumb_tiny/foto0582.jpg,200,0,374,-1,374
image/jpeg,371,-1,-1,0,17,3,0x42560f0,1071,493,3,-1.0,373,1071,384,-1,2262398.622131,http://img1.ask.fm/assets/044/495/594/thumb_tiny/img_20120826_01066.jpg,200,0,374,-1,374
image/jpeg,137,-1,-1,0,21,7,0x425a000,1501,499,-237,-1.0,139,1501,150,-1,2262398.856533,http://img0.ask.fm/assets/207/920/269/thumb_tiny/1016635_661801937167159_478950189_n.jpg,200,0,141,-1,141
image/jpeg,377,-1,-1,0,15,1,0x4253d80,1291,500,247,-1.0,378,1291,391,-1,2262398.616643,http://img0.ask.fm/assets/240/739/091/thumb_tiny/bb8bbbbbbbbb.jpg,200,0,380,-1,380
image/jpeg,148,-1,-1,0,23,1,0x425b4f0,2054,501,-218,-1.0,150,2054,162,-1,2262398.845502,http://img2.ask.fm/assets/238/476/818/thumb_tiny/cymera_20130815_101247.jpg,200,0,152,-1,152
image/jpeg,138,-1,-1,0,24,8,0x425b8c0,1898,497,-233,-1.0,140,1898,152,-1,2262398.855634,http://img4.ask.fm/assets/227/837/872/thumb_tiny/image.jpg,200,0,141,-1,142
image/jpeg,137,-1,-1,0,26,8,0x425c490,1256,495,-229,-1.0,139,1256,153,-1,2262398.856066,http://img6.ask.fm/assets/231/154/817/thumb_tiny/gfj.jpg,200,0,140,-1,140
image/png,386,-1,-1,0,25,4,0x425c220,5658,503,4,-1.0,390,5658,419,-1,2262398.624209,http://img5.ask.fm/assets/065/282/067/thumb_tiny/screen_shot_2012_11_13_at_6.47.04_pm.png,200,0,411,-1,411
image/png,-1,-1,-1,1,7,11,0x4274d80,205,268,-1,-1.0,11,205,200,-1,2262398.847052,http://ask.fm/images/bg-menu-blue-vintage.png,200,0,16,-1,16
application/x-javascript,245,-1,-1,0,31,3,0x426f580,-1,504,3,-1.0,252,1900,258,-1,2262398.790562,http://b.scorecardresearch.com/beacon.js,200,0,253,-1,253
image/png,-1,-1,-1,1,8,11,0x424b5b0,3817,229,-1,-1.0,12,3817,202,-1,2262398.847475,http://ask.fm/images/logo-green.png,200,0,16,-1,16
image/gif,-1,-1,-1,1,9,14,0x424e3b0,5357,232,-1,-1.0,14,5357,204,-1,2262398.847902,http://ask.fm/images/logbox/spinner.gif,200,0,16,-1,16
image/jpeg,371,-1,-1,0,20,3,0x42588f0,1303,502,224,-1.0,372,1303,449,-1,2262398.622965,http://img2.ask.fm/assets/172/630/414/thumb_tiny/img_20130525_163610.jpg,200,0,374,-1,374
text/plain,-1,-1,-1,1,39,1,0x0,0,504,-1,-1.0,1,0,4,-1,2262399.079004,http://b.scorecardresearch.com/b2?c1=2&c2=15414502&c3=&c4=ask.fm%2F&ns__t=1378093812755&ns_c=UTF-8&c8=Ask.fm&c7=http%3A%2F%2Fask.fm%2F&c9=,204,0,1,-1,1
image/gif,14,-1,-1,0,10,13,0x424fe70,5434,451,14,-1.0,197,5434,381,-1,2262398.848363,http://ask.fm/images/logbox/facebookLoader.gif,200,0,197,-1,197
image/gif,13,-1,-1,0,11,13,0x424fa80,5685,446,13,-1.0,197,5685,384,-1,2262398.848849,http://ask.fm/images/logbox/twitterLoader.gif,200,0,197,-1,197
image/gif,12,-1,-1,0,12,12,0x4250840,5599,441,12,-1.0,196,5599,383,-1,2262398.850192,http://ask.fm/images/logbox/vkontakteLoader.gif,200,0,196,-1,197
image/png,-1,-1,-1,1,13,12,0x4252790,187,268,-1,-1.0,198,187,383,-1,2262398.850744,http://ask.fm/images/logbox/signupButton-gradient.png,200,0,198,-1,198
image/png,-1,-1,-1,1,14,11,0x4252c10,234,229,-1,-1.0,201,234,387,-1,2262398.851175,http://ask.fm/images/icons/here-arrow_0402.png,200,0,201,-1,201
image/png,-1,-1,-1,1,28,11,0x425f560,167,232,-1,-1.0,206,167,409,-1,2262398.851646,http://ask.fm/images/icons/arrow-right-blue.png,200,0,206,-1,207
text/javascript,562,-1,-1,0,30,1,0x426f930,-1,527,1,-1.0,563,39867,565,-1,2262398.788182,http://www.google-analytics.com/ga.js,200,0,563,-1,563
image/gif,1,-1,-1,0,29,1,0x0,42,534,1,-1.0,9,42,21,-1,2262399.358884,http://www.google.com/ads/conversion/989250603/?random=754421377&cv=7&fst=1378093812320&num=1&fmt=3&value=0&label=uHwGCJWNjQUQq4jb1wM&bg=ffffff&hl=en&guid=ON&u_h=1152&u_w=2048&u_ah=1130&u_aw=1970&u_cd=24&u_his=3&u_tz=-420&u_java=true&u_nplug=6&u_nmime=93&url=http%3A//ask.fm/&frm=0&ctc_id=CAIVAgAAAB0CAAAA&ct_cookie_present=false&cdct=2&convclickts=0&random=3976382048,200,0,9,-1,10
image/gif,-1,-1,-1,1,40,2,0x4274d80,35,527,-1,-1.0,2,35,4,-1,2262399.404968,http://www.google-analytics.com/__utm.gif?utmwv=5.4.4&utms=1&utmn=1057751888&utmhn=ask.fm&utmcs=UTF-8&utmsr=2048x1152&utmvp=935x1014&utmsc=24-bit&utmul=en-us&utmje=1&utmfl=11.8%20r800&utmdt=Ask.fm&utmhid=2015061116&utmr=-&utmp=%2F&utmht=1378093813087&utmac=UA-12308109-2&utmcc=__utma%3D71640835.1846149681.1378093813.1378093813.1378093813.1%3B%2B__utmz%3D71640835.1378093813.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmu=q~,200,0,2,-1,2
image/png,-1,-1,-1,1,32,11,0x4272680,269,451,-1,-1.0,380,269,567,-1,2262398.852056,http://ask.fm/images/sprites/hints_0309.png,200,0,382,-1,382
image/png,-1,-1,-1,1,33,10,0x4274d80,121,268,-1,-1.0,409,121,594,-1,2262398.852935,http://ask.fm/images/colorbox/overlay_0102.png,200,0,410,-1,410
image/png,-1,-1,-1,1,34,10,0x4274d80,1269,446,-1,-1.0,410,1269,596,-1,2262398.853393,http://ask.fm/images/colorbox/controls_3101_2.png,200,0,411,-1,411
image/png,-1,-1,-1,1,35,9,0x4274d80,128,441,-1,-1.0,410,128,596,-1,2262398.853809,http://ask.fm/images/colorbox/border_3101_2.png,200,0,411,-1,411
image/png,-1,-1,-1,1,36,9,0x4274d80,136,229,-1,-1.0,412,136,613,-1,2262398.854303,http://ask.fm/images/colorbox/filler_3101_2.png,200,0,428,-1,428
image/gif,-1,-1,-1,1,37,8,0x4274d80,2039,232,-1,-1.0,427,2039,615,-1,2262398.854782,http://ask.fm/images/colorbox/loading_a.gif,200,0,427,-1,427
image/gif,-1,-1,-1,1,38,8,0x4274d80,72,451,-1,-1.0,566,72,750,-1,2262398.855177,http://ask.fm/images/icons/lightbox.gif,200,0,567,-1,567
